[1;96m2023-04-17 23:43:32.290967[1;37m - Patrimonio: [1;35m121829[92m OK[1;37m - Progresso: [1;96m1/304[m
2023-04-18 06:23:31.251593 - Patrimonio: 137289 OK - Progresso: 155/164
2023-04-18 06:23:36.778004 - Patrimonio: 137290 OK - Progresso: 156/164
2023-04-18 06:23:42.811411 - Patrimonio: 137291 OK - Progresso: 157/164
2023-04-18 06:23:47.987021 - Patrimonio: 137292 OK - Progresso: 158/164
2023-04-18 06:23:53.119235 - Patrimonio: 137293 OK - Progresso: 159/164
2023-04-18 06:23:58.293880 - Patrimonio: 137294 OK - Progresso: 160/164
2023-04-18 06:24:03.419947 - Patrimonio: 137298 OK - Progresso: 161/164
2023-04-18 06:24:08.563704 - Patrimonio: 137311 OK - Progresso: 162/164
2023-04-18 06:24:13.710784 - Patrimonio: 137335 OK - Progresso: 163/164
2023-04-18 06:24:18.398737 - Patrimonio: 137378 OK - Progresso: 164/164
